operation_id,created_at,amount,bank,card_brand,payment_system,status,latency_sec
op_001,2026-07-29T08:00:00+03:00,12000,alfa,,vipay,approved,76
op_002,2026-07-29T08:01:57+03:00,12000,tinkoff,,quickpay,approved,79
op_003,2026-07-29T08:03:54+03:00,5000,vtb,,payflow,rejected,6
op_004,2026-07-29T08:02:30+03:00,35000,raiffeisen,,payflow,approved,68
op_005,2026-07-29T08:07:52+03:00,1500,alfa,,payflow,expired,552
op_006,2026-07-29T08:03:40+03:00,80000,vtb,,quickpay,approved,96
op_007,2026-07-29T08:09:18+03:00,55000,raiffeisen,,quickpay,approved,59
op_008,2026-07-29T08:05:29+03:00,3000,gazprombank,,quickpay,rejected,77
op_009,2026-07-29T08:15:52+03:00,5000,sberbank,,payflow,approved,13
op_010,2026-07-29T08:05:33+03:00,2000,alfa,,quickpay,approved,75
op_011,2026-07-29T08:13:10+03:00,55000,vtb,,quickpay,approved,40
op_012,2026-07-29T08:15:13+03:00,15000,alfa,,payflow,expired,689
op_013,2026-07-29T08:35:00+03:00,25000,alfa,,payflow,rejected,67
op_014,2026-07-29T08:26:52+03:00,35000,tinkoff,,payflow,expired,569
op_015,2026-07-29T08:16:06+03:00,75000,raiffeisen,,quickpay,approved,66
op_016,2026-07-29T08:38:15+03:00,75000,gazprombank,,quickpay,rejected,28
op_017,2026-07-29T08:31:28+03:00,45000,sberbank,,vipay,rejected,69
op_018,2026-07-29T08:26:04+03:00,12000,sberbank,,vipay,approved,12
op_019,2026-07-29T08:18:36+03:00,30000,vtb,,vipay,approved,39
op_020,2026-07-29T08:18:03+03:00,8000,tinkoff,,quickpay,approved,45
op_021,2026-07-29T09:00:00+03:00,12000,sberbank,,payflow,approved,52
op_022,2026-07-29T08:45:30+03:00,8000,vtb,,payflow,approved,39
op_023,2026-07-29T09:02:42+03:00,55000,raiffeisen,,quickpay,approved,9
op_024,2026-07-29T08:58:39+03:00,12000,vtb,,vipay,approved,46
op_025,2026-07-29T08:50:00+03:00,45000,vtb,,quickpay,approved,56
op_026,2026-07-29T08:24:10+03:00,5000,raiffeisen,,vipay,rejected,19
op_027,2026-07-29T08:49:50+03:00,5000,gazprombank,,quickpay,approved,119
op_028,2026-07-29T09:01:39+03:00,2000,tinkoff,,vipay,expired,327
op_029,2026-07-29T09:13:16+03:00,35000,alfa,,payflow,expired,630
op_030,2026-07-29T09:12:30+03:00,12000,raiffeisen,,vipay,approved,31
